,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind Speed
0,Khagaul,0,IN,1557527400,88,25.63,85.04,82.4,5.82
1,Mahebourg,40,MU,1557530346,60,-20.41,57.7,75.07,5.82
2,Punta Arenas,75,CL,1557529395,75,-53.16,-70.91,41.95,20.8
3,Rikitea,64,PF,1557530358,84,-23.12,-134.97,77.81,12.66
4,Verkhnyaya Toyma,0,RU,1557530358,84,62.24,45.0,54.41,6.6
5,Hithadhoo,43,MV,1557530358,66,-0.6,73.08,85.01,4.72
6,Kapaa,1,US,1557530303,65,22.08,-159.32,80.82,14.99
7,Saskylakh,100,RU,1557530359,92,71.97,114.09,19.85,3.94
8,Riyadh,0,SA,1557525600,23,24.63,46.72,84.2,4.7
9,Bilma,1,NE,1557530359,15,18.69,12.92,84.83,10.76
10,Todos Santos,5,MX,1557530123,37,23.45,-110.23,76.53,16.11
11,Castro,90,CL,1557525600,100,-42.48,-73.76,51.8,19.46
12,East London,0,ZA,1557530361,43,-33.02,27.91,57.83,4.79
13,Busselton,30,AU,1557530361,56,-33.64,115.35,66.11,9.31
14,Rincon,75,US,1557530302,61,32.3,-81.24,76.86,11.41
15,Banda Aceh,100,ID,1557530191,76,5.56,95.32,83.47,10.56
16,Tiksi,60,RU,1557530216,91,71.64,128.87,18.49,9.01
17,Grand Gaube,40,MU,1557530346,60,-20.01,57.66,75.09,5.82
18,Chokurdakh,56,RU,1557530362,90,70.62,147.9,18.95,4.61
19,Ushuaia,20,AR,1557525600,49,-54.81,-68.31,46.4,14.99
20,Pipri,0,IN,1557530363,12,24.21,83.02,87.71,4.23
21,Atuona,2,PF,1557530363,77,-9.8,-139.03,82.85,16.04
22,Yellowknife,75,CA,1557530080,60,62.45,-114.38,40.68,14.99
23,Aykhal,0,RU,1557525600,67,65.95,111.51,23.0,6.71
24,Balikpapan,20,ID,1557525600,94,-1.24,116.86,78.8,3.36
25,Sorland,100,NO,1557530365,76,67.67,12.69,45.95,17.07
26,Nioro,0,GM,1557530365,52,13.79,-15.05,78.17,11.32
27,Namatanai,45,PG,1557530365,76,-3.66,152.44,81.59,5.19
28,Cape Town,0,ZA,1557530154,93,-33.93,18.42,59.22,11.41
29,Shizuishan,0,CN,1557529976,38,39.02,106.36,61.0,1.99
30,Indian Head,100,CA,1557530128,81,50.53,-103.67,48.2,6.15
31,Pasighat,100,IN,1557530366,97,28.06,95.33,63.95,2.21
32,Khatanga,0,RU,1557530367,86,71.98,102.47,20.39,10.0
33,Albany,90,US,1557530338,88,42.65,-73.75,62.53,9.17
34,Dikson,83,RU,1557530368,90,73.51,80.55,25.97,11.74
35,Tigzirt,89,DZ,1557530368,85,36.57,4.2,60.53,3.69
36,Nanortalik,51,GL,1557530368,88,60.14,-45.24,33.89,4.7
37,Manggar,100,ID,1557530369,81,-2.88,108.27,80.87,2.44
38,Hovd,75,NO,1557530356,93,63.83,10.7,43.23,9.17
39,Arlit,0,NE,1557530370,11,18.74,7.39,84.47,1.57
40,Bluff,1,AU,1557530187,25,-23.58,149.07,64.75,22.62
41,Longyearbyen,20,NO,1557528600,67,78.22,15.63,23.0,9.17
42,Pisco,40,PE,1557530178,30,-13.71,-76.2,71.33,6.93
43,Tazovskiy,95,RU,1557530371,88,67.47,78.7,32.63,21.74
44,Pandamatenga,0,BW,1557530371,47,-18.54,25.64,62.15,5.84
45,Kodiak,90,US,1557530369,48,39.95,-94.76,59.63,5.95
46,Wuchi,100,NG,1557530372,38,13.33,5.43,88.07,23.62
47,Lagoa,0,PT,1557530170,82,37.14,-8.45,62.04,9.17
48,Veinticinco de Mayo,100,AR,1557530373,99,-27.38,-54.75,69.17,2.19
49,Sitka,100,US,1557530152,85,37.17,-99.65,51.01,1.01
50,Mackay,20,CA,1557529200,33,53.65,-115.58,64.96,16.11
51,Mataura,99,NZ,1557529804,90,-46.19,168.86,57.99,1.01
52,Cockburn Town,0,TC,1557530374,79,21.46,-71.14,78.89,17.65
53,Suining,97,CN,1557530374,56,30.51,105.57,72.59,3.38
54,Jamestown,14,AU,1557530375,75,-33.21,138.6,53.69,4.27
55,Puerto Ayora,40,EC,1557530196,78,-0.74,-90.35,79.2,19.46
56,Vanimo,78,PG,1557530375,74,-2.67,141.3,82.31,4.21
57,Kohat,40,PK,1557525600,44,33.6,71.44,77.0,6.93
58,Barrow,100,AR,1557530376,85,-38.31,-60.23,56.39,15.19
59,Bredasdorp,0,ZA,1557529200,87,-34.53,20.04,48.2,4.7
60,Nouadhibou,0,MR,1557529200,77,20.93,-17.03,66.2,17.22
61,Port Elizabeth,1,US,1557530372,73,39.31,-74.98,73.31,14.99
62,Ambon,75,FR,1557530372,93,47.55,-2.56,52.68,13.87
63,Hobart,40,AU,1557530355,70,-42.88,147.33,50.7,6.93
64,Henties Bay,2,NA,1557529335,93,-22.12,14.28,57.99,7.58
65,Arraial do Cabo,0,BR,1557525600,69,-22.97,-42.02,77.0,11.41
66,Pacific Grove,1,US,1557530340,56,36.62,-121.92,67.21,11.41
67,Tuktoyaktuk,90,CA,1557525600,85,69.44,-133.03,21.2,13.87
68,Taltal,0,CL,1557530380,79,-25.41,-70.49,58.19,4.34
69,Sangar,69,RU,1557530380,70,63.92,127.47,49.55,14.25
70,Vaini,0,IN,1557530381,86,15.34,74.49,75.29,2.73
71,Port Alfred,0,ZA,1557530226,79,-33.59,26.89,61.0,5.19
72,Narsaq,75,GL,1557528600,89,60.91,-46.05,39.2,10.29
73,Zhigansk,100,RU,1557530382,85,66.77,123.37,26.15,19.44
74,Torbay,40,CA,1557530299,91,47.66,-52.73,34.39,14.99
75,Kavaratti,50,IN,1557530382,72,10.57,72.64,85.01,10.74
76,Bambous Virieux,40,MU,1557530346,60,-20.34,57.76,75.09,5.82
77,Fortuna,0,ES,1557530314,64,38.18,-1.13,70.05,2.24
78,Saint-Philippe,90,CA,1557530382,67,45.36,-73.48,58.93,19.46
79,Airai,71,TL,1557530384,78,-8.93,125.41,77.09,6.87
80,Upernavik,100,GL,1557530283,92,72.79,-56.15,28.67,2.91
81,Vila,75,IT,1557530372,67,45.18,8.4,57.78,8.05
82,Basudebpur,0,IN,1557530385,85,21.14,86.74,82.85,8.72
83,Puerto del Rosario,90,ES,1557529200,77,28.5,-13.86,68.0,19.46
84,Pevek,73,RU,1557530385,75,69.7,170.27,25.25,4.47
85,Alta Floresta,20,BR,1557525600,70,-9.87,-56.08,84.2,1.12
86,Khash,77,IR,1557530386,30,28.22,61.21,67.37,5.28
87,Cap-aux-Meules,75,CA,1557529200,65,47.38,-61.86,41.0,5.82
88,Casablanca,20,MA,1557530165,100,33.6,-7.62,63.3,9.17
89,Darhan,100,MN,1557530387,53,49.49,105.92,32.81,7.94
90,Husavik,70,CA,1557530197,16,50.56,-96.99,61.0,8.01
91,Yulara,0,AU,1557525600,70,-25.24,130.99,44.6,5.82
92,Butaritari,66,KI,1557530388,79,3.07,172.79,84.11,15.37
93,Severo-Kurilsk,98,RU,1557530388,85,50.68,156.12,37.85,27.18
94,Greenville,40,US,1557530249,57,34.85,-82.4,77.23,5.82
95,Carnarvon,0,ZA,1557530389,34,-30.97,22.13,55.49,6.04
96,Quelimane,0,MZ,1557530389,94,-17.88,36.89,67.01,2.57
97,Thompson,75,CA,1557529200,30,55.74,-97.86,59.0,14.99
98,Georgetown,75,GY,1557525600,83,6.8,-58.16,81.41,11.41
99,Eregli,75,TR,1557530278,58,37.51,34.05,52.43,3.6
100,Walvis Bay,0,NA,1557529335,82,-22.95,14.51,58.37,2.24
101,Abhar,0,IR,1557530391,62,36.14,49.22,46.13,4.29
102,Anchorage,90,US,1557530311,34,61.22,-149.89,52.03,9.17
103,Hermanus,15,ZA,1557530154,80,-34.42,19.24,59.0,10.25
104,Mangrol,0,IN,1557530392,27,25.33,76.51,88.97,6.93
105,Hofn,100,IS,1557530392,80,64.25,-15.21,17.51,13.06
106,Swan Hill,0,AU,1557530393,71,-35.34,143.56,53.87,10.8
107,Amtala,100,BD,1557530393,90,24.85,90.79,79.97,10.13
108,Diapaga,90,BF,1557530393,36,12.07,1.79,93.47,3.91
109,Faanui,48,PF,1557530393,74,-16.48,-151.75,83.21,10.58
110,Beloha,7,MG,1557530394,91,-25.17,45.06,66.65,2.73
111,Vostok,0,RU,1557530394,38,46.45,135.83,53.15,5.84
112,Cayenne,40,GF,1557527400,83,4.94,-52.33,80.6,4.7
113,Le Port,58,FR,1557530363,73,42.87,1.37,55.11,7.0
114,Moron,67,VE,1557530395,89,10.49,-68.2,76.37,3.49
115,Sao Joao da Barra,0,BR,1557525600,78,-21.64,-41.05,73.4,6.93
116,Sinnamary,77,GF,1557530396,83,5.38,-52.96,81.59,14.92
117,Boddam,100,GB,1557530176,93,57.47,-1.78,40.37,3.36
118,Ubinskoye,0,RU,1557530396,41,55.31,79.68,46.31,6.78
119,Sisimiut,1,GL,1557530397,89,66.94,-53.67,31.91,4.68
120,Lebu,30,ET,1557530397,54,8.96,38.73,55.85,0.81
121,Kaeo,0,NZ,1557530236,100,-35.1,173.78,67.44,6.69
122,Comodoro Rivadavia,0,AR,1557525600,55,-45.87,-67.48,60.8,5.82
